Dive Number,GF Minimum,GF Maximum,Surface Interval (min),Imperial Units,Start Battery Voltage,Start CNS %,Start Date,Start External O2 Sensor Status,Start Low Set Point,Start High Set Point,Computer Firmware Version,Max Depth,Max Time,Error History,End Battery Voltage,End CNS,End Date,End External O2 Sensor Status,End Low Set Point,End High Set Point,Computer Serial Number,Computer Firmware Version,Computer Model,Log Version,Deco Model,VPM-B Conservatism,Start Surface Pressure,End Surface Pressure,Product
607,60,80,15693,False,3.5,0,31/05/2025 11:41:04,False,0,1,93,74.2,9414,,3.4,102,31/05/2025 14:17:53,False,0,1,3818148C,93,2,14,GF,60/80,1022,1022,Perdix AI
Time (sec),Depth,First Stop Depth,Time To Surface (min),Average PPO2,Fraction O2,Fraction He,First Stop Time,Current NDL,Current Circuit Mode,Current CCR Mode,Water Temp,Gas Switch Needed,External PPO2,Set Point Type,Circuit Switch Type,External O2 Sensor 1 (mV),External O2 Sensor 2 (mV),External O2 Sensor 3 (mV),Battery Voltage,Tank 1 pressure (PSI),Tank 2 pressure (PSI),Tank 3 pressure (PSI),Tank 4 pressure (PSI),Gas Time Remaining,SAC Rate (2 minute avg),Ascent Rate,Safe Ascent Depth,CO2mbar
94,33.6,0,3,1.3,0.1,0.57,0,14,0,0,18,False,True,1,0,0,0,199,3.47,AI is off,AI is off,N/A,N/A,Not paired,AI is off,0,0,0
96,34.4,0,4,1.3,0.1,0.57,0,9,0,0,18,False,True,1,0,0,0,199,3.47,AI is off,AI is off,N/A,N/A,Not paired,AI is off,0,0,0
98,35,0,4,1.3,0.1,0.57,0,9,0,0,18,False,True,1,0,0,0,199,3.47,AI is off,AI is off,N/A,N/A,Not paired,AI is off,0,0,0
100,35.4,0,4,1.3,0.1,0.57,0,9,0,0,17,False,True,1,0,0,0,199,3.47,AI is off,AI is off,N/A,N/A,Not paired,AI is off,0,0,0
102,36.1,0,4,1.3,0.1,0.57,0,8,0,0,17,False,True,1,0,0,0,199,3.47,AI is off,AI is off,N/A,N/A,Not paired,AI is off,0,0,0
104,36.7,0,4,1.3,0.1,0.57,0,8,0,0,17,False,True,1,0,0,0,199,3.47,AI is off,AI is off,N/A,N/A,Not paired,AI is off,0,0,0
106,37.3,0,4,1.3,0.1,0.57,0,7,0,0,17,False,True,1,0,0,0,199,3.47,AI is off,AI is off,N/A,N/A,Not paired,AI is off,0,0,0
108,37.9,0,4,1.3,0.1,0.57,0,7,0,0,17,False,True,1,0,0,0,199,3.47,AI is off,AI is off,N/A,N/A,Not paired,AI is off,0,0,0
110,38.6,0,4,1.3,0.1,0.57,0,7,0,0,17,False,True,1,0,0,0,199,3.47,AI is off,AI is off,N/A,N/A,Not paired,AI is off,0,0,0
112,39.2,0,4,1.3,0.1,0.57,0,7,0,0,16,False,True,1,0,0,0,199,3.47,AI is off,AI is off,N/A,N/A,Not paired,AI is off,0,0,0
114,39.8,0,4,1.3,0.1,0.57,0,7,0,0,16,False,True,1,0,0,0,199,3.47,AI is off,AI is off,N/A,N/A,Not paired,AI is off,0,0,0
116,40.5,0,4,1.3,0.1,0.57,0,6,0,0,16,False,True,1,0,0,0,199,3.47,AI is off,AI is off,N/A,N/A,Not paired,AI is off,0,0,0
118,41.2,0,4,1.3,0.1,0.57,0,6,0,0,16,False,True,1,0,0,0,199,3.47,AI is off,AI is off,N/A,N/A,Not paired,AI is off,0,0,0
120,42.1,0,4,1.3,0.1,0.57,0,6,0,0,16,False,True,1,0,0,0,199,3.47,AI is off,AI is off,N/A,N/A,Not paired,AI is off,0,0,0
122,42.9,0,5,1.3,0.1,0.57,0,5,0,0,16,False,True,1,0,0,0,199,3.47,AI is off,AI is off,N/A,N/A,Not paired,AI is off,0,0,0
124,43.7,0,5,1.3,0.1,0.57,0,5,0,0,16,False,True,1,0,0,0,199,3.47,AI is off,AI is off,N/A,N/A,Not paired,AI is off,0,0,0
126,44.4,0,5,1.3,0.1,0.57,0,4,0,0,16,False,True,1,0,0,0,199,3.47,AI is off,AI is off,N/A,N/A,Not paired,AI is off,0,0,0
128,44.9,0,5,1.3,0.1,0.57,0,4,0,0,16,False,True,1,0,0,0,199,3.47,AI is off,AI is off,N/A,N/A,Not paired,AI is off,0,0,0
130,45,0,5,1.3,0.1,0.57,0,4,0,0,16,False,True,1,0,0,0,199,3.47,AI is off,AI is off,N/A,N/A,Not paired,AI is off,0,0,0
132,45.2,0,5,1.3,0.1,0.57,0,4,0,0,16,False,True,1,0,0,0,200,3.47,AI is off,AI is off,N/A,N/A,Not paired,AI is off,0,0,0
134,45.3,0,5,1.3,0.1,0.57,0,4,0,0,16,False,True,1,0,0,0,199,3.47,AI is off,AI is off,N/A,N/A,Not paired,AI is off,0,0,0
136,45.4,0,5,1.3,0.1,0.57,0,4,0,0,16,False,True,1,0,0,0,199,3.47,AI is off,AI is off,N/A,N/A,Not paired,AI is off,0,0,0
138,45.6,0,5,1.3,0.1,0.57,0,4,0,0,16,False,True,1,0,0,0,199,3.47,AI is off,AI is off,N/A,N/A,Not paired,AI is off,0,0,0
